question_id,hint_used,question,answers,model_letter,correct_letter,is_correct
59,"Divide the question into smaller, manageable parts and tackle each part individually before synthesizing the overall answer.","What is the term for organisational development through a formally designed organisational structure?
a) Mechanistic b) Processual c) Formal d) Strategic e) Organic f) Operational g) Hierarchical ","Part 1: The term is ""Formal.""

Part 2:  
- Organisational development through a formally designed structure typically involves clear roles and responsibilities.  
- This approach emphasizes predefined procedures and a structured hierarchy.  
- It contrasts with more flexible or adaptive structures, focusing on stability and predictability.

Part 3: C",C,A,False
60,"Divide the question into smaller, manageable parts and tackle each part individually before synthesizing the overall answer.","A ball of volume 500 cm^3 is hung from the end of a wire of cross-sectional area 2 × 10^-3 cm^2. Young's modulus for the material of the wire is 7 × 10^11 dynes\bulletcm^-2. When the ball is immersed in water the length of the wire decreases by 0.05 cm. What is the length of the wire?
a) 120 cm b) 142.9 cm c) 160 cm d) 145.5 cm e) 135 cm f) 130 cm g) 140 cm h) 150 cm i) 155 cm j) 125 cm ","Part 1: The length of the wire is 145.5 cm.

Part 2:
- The buoyant force on the ball when immersed in water is equal to the weight of the water displaced, which is the volume of the ball times the density of water.
- The decrease in length of the wire is due to the reduction in tension caused by the buoyant force.
- Using Young's modulus, the change in length can be related to the change in force and the original length of the wire.
- Solving for the original length of the wire using the given decrease in length and the properties of the wire and ball gives the answer.

D",D,B,False
61,"Divide the question into smaller, manageable parts and tackle each part individually before synthesizing the overall answer.","The dirt floor of theShanidarCave in the northern part of Iraq has been examined. Below the layer of soil that contained arrowheads and bone awls was a layer of soil that yielded flint tools and pieces of charcoal. When the charcoal was examined it was discovered that in 1 kg of carbon, approximately 9.4 × 10^2 carbon\Elzbar14 nuclei decayed each second. It is known that in 1 kg of carbon from living material, 1.5 × 10^4 disintegrations of carbon\Elzbar14 occur each second. Use these data to calculate when people of the stone age culture occupied the cave.
a) 6.5 × 10^4 years ago b) 4.6 × 10^4 years ago c) 9.4 × 10^2 years ago d) 8.8 × 10^3 years ago e) 5730 years ago f) 2.3 × 10^4 years ago g) 11,460 years ago h) 7.3 × 10^3 years ago i) 1.5 × 10^4 years ago j) 3.0 × 10^4 years ago ","Part 1: The people occupied the cave 2.3 × 10^4 years ago.

Part 2:
- The decay rate of carbon-14 in the sample is significantly lower than that of living material.
- The half-life of carbon-14 is approximately 5730 years.
- Using the decay rates, the age can be calculated using the formula for radioactive decay.
- The calculated age corresponds to the time when the stone age culture occupied the cave.

Part 3:
F",,F,False
62,"Divide the question into smaller, manageable parts and tackle each part individually before synthesizing the overall answer.","Let it be required to find the square roots of A where A = 3.08 + j8.455.
a) 4∠35° and 4∠215° b) 2∠40° and 2∠220° c) 3.5∠45° and 3.5∠225° d) 2.8∠33° and 2.8∠213° e) 3∠45° and 3∠225° f) 3∠40° and 3∠220° g) 2.5∠30° and 2.5∠210° h) 3∠35° and 3∠215° i) 3∠30° and 3∠210° j) 3∠50° and 3∠230° ","Part 1: The square roots of the complex number are approximately 2.8∠33° and 2.8∠213°.

Part 2:
- Convert the complex number to polar form to find the magnitude and angle.
- The magnitude is calculated as the square root of the sum of squares of the real and imaginary parts.
- The angle is determined using the arctangent of the imaginary part divided by the real part.
- The square roots will have half the angle and the square root of the magnitude.

Part 3: D",D,H,False
63,"Divide the question into smaller, manageable parts and tackle each part individually before synthesizing the overall answer.","One of the less obvious reasons for the Inca to fight so many wars may have been:
a) to demonstrate their military prowess to potential allies and enemies. b) to expand their empire's territory. c) to unite their own population through a common enemy. d) to identify and cultivate talented leaders. e) to gain control of vital resources. ","Part 1: The Inca may have fought wars to identify and cultivate talented leaders.

Part 2:
- Expanding territory and gaining resources are more obvious reasons for war.
- Demonstrating military prowess and uniting the population are also more apparent motives.
- Identifying and cultivating leaders is a less obvious strategic reason for engaging in warfare.

D",D,D,True
64,"Divide the question into smaller, manageable parts and tackle each part individually before synthesizing the overall answer.","A flywheel, in the form of a uniform disk 4.0 ft in diameter, A flywheel, in the form of a uniform disk 4.0 ft in diameter, weighs 600 lb. What will be its angular acceleration if it is acted upon by a net torque of 225 lb-ft? (The rotational inertia of a wheel is I = (1/2)mR^2, where m is the wheel's mass and R is its radius.)
a) 6.3 rad/sec^2 b) 3.5rad/sec^2 c) 2.4 rad/sec^2 d) 5.9rad/sec^2 e) 8.1 rad/sec^2 f) 4.8rad/sec^2 g) 1.8 rad/sec^2 h) 9.0 rad/sec^2 i) 7.2rad/sec^2 j) 4.2 rad/sec^2 ","Part 1: The angular acceleration of the flywheel is 3.5 rad/sec².

Part 2:
- The radius of the flywheel is half of the diameter, which is 2.0 ft.
- The mass of the flywheel can be calculated by dividing the weight by the acceleration due to gravity (600 lb / 32.2 ft/s²).
- The rotational inertia is calculated using the formula I = (1/2)mR².
- Angular acceleration is found by dividing the net torque by the rotational inertia.

Part 3:
B",B,D,False
65,"Divide the question into smaller, manageable parts and tackle each part individually before synthesizing the overall answer.","The probability is 0.2 that a value selected at random from a normal distribution with mean 600 and standard deviation 15 will be above what number?
a) 603.8 b) 605.3 c) 600.0 d) 620.5 e) 625.9 f) 610.2 g) 587.4 h) 612.6 i) 0.84 j) 615.7 ","Part 1: The value is 612.6.

Part 2:
- The problem involves finding a value above which 20% of the distribution lies.
- This requires finding the z-score that corresponds to the 80th percentile of a standard normal distribution.
- The z-score for the 80th percentile is approximately 0.84.
- Using the z-score formula, the value is calculated as mean plus z-score times standard deviation.

Part 3: H",,H,False
66,"Divide the question into smaller, manageable parts and tackle each part individually before synthesizing the overall answer.","a) The velocity profile for laminar flow between two parallel plates is given by u = u_m{1 - (b^2 / B^2)} where u_m is thecenterplanevelocity, B is the half-spacing between plates, and b is the normal distance from the center plane. (1) What is the average velocity in terms of u_m? (2) What is the momentum correction factor \beta? b) The velocity profile for turbulent flow in a circular tube may be approximated by u = u_m(y/R)^1/7 = u_m {1 - (r/R)}^1/7 where u_m is the centerline velocity, R is the tube radius, and y is the radial distance from the tube wall (r = R - y). (1) What is the average velocity in terms of u_m? (2) What is the momentum flux factor \beta? c) Velocities measured at the center of equal increments of (r/R)^2, representing equal increments of area, at the downstream end of a diffuser in acavitation-testing water tunnel are as follows: 18.2, 16.8, 14.9, 12.75, 10.9, 9.4, 7.9, 6.5, 5.6, and 4.5 m/s. (a) What is the average flow velocity? (b) What is the momentum flux factor \beta?
a) (a) Average velocity = (5/7) u_m, beta = 1.18. (b) Average velocity = (41 / 60) u_m, beta = 1.008. (c) Average velocity = 7.5 m/s, beta = 1.185. b) (a) Average velocity = u_m, beta = 1.25. (b) Average velocity = (55 / 60) u_m, beta = 1.030. (c) Average velocity = 13.2 m/s, beta = 1.165. c) (a) Average velocity = (5/6) u_m, beta = 1.10. (b) Average velocity = (52 / 60) u_m, beta = 1.017. (c) Average velocity = 11.1 m/s, beta = 1.150. d) (a) Average velocity = (7/8) u_m, beta = 1.28. (b) Average velocity = (46 / 60) u_m, beta = 1.013. (c) Average velocity = 9.9 m/s, beta = 1.210. e) (a) Average velocity = (2/3) u_m, eta = 1.20. (b) Average velocity = (49 / 60) u_m, eta = 1.020. (c) Average velocity = 10.75 m/s, eta = 1.178. f) (a) Average velocity = (1/3) u_m, eta = 1.15. (b) Average velocity = (45 / 60) u_m, eta = 1.010. (c) Average velocity = 11.8 m/s, eta = 1.160 g) (a) Average velocity = (3/5) u_m, beta = 1.22. (b) Average velocity = (42 / 60) u_m, beta = 1.012. (c) Average velocity = 8.6 m/s, beta = 1.190. h) (a) Average velocity = (3/4) u_m, eta = 1.30. (b) Average velocity = (50 / 60) u_m, eta = 1.025. (c) Average velocity = 9.4 m/s, eta = 1.200 i) (a) Average velocity = (1/2) u_m, eta = 1.10. (b) Average velocity = (40 / 60) u_m, eta = 1.015. (c) Average velocity = 12.75 m/s, eta = 1.150 j) (a) Average velocity = (1/4) u_m, beta = 1.05. (b) Average velocity = (56 / 60) u_m, beta = 1.022. (c) Average velocity = 14.3 m/s, beta = 1.170. ","Part 1: The average velocity is 7.5 m/s, and the momentum correction factor is 1.185.

Part 2:
- The problem involves calculating the average velocity and momentum correction factor for a given velocity profile.
- The velocities provided are measured at equal increments of area, which suggests a numerical integration approach to find the average.
- The average velocity is calculated by summing the given velocities and dividing by the number of measurements.
- The momentum correction factor is determined based on the velocity distribution and its deviation from the average.

C",C,E,False
67,"Divide the question into smaller, manageable parts and tackle each part individually before synthesizing the overall answer.","What was the prevailing notion prior to the time of Lyell and Darwin?
a) Earth is millions of years old, and populations are unchanging. b) Earth is millions of years old, and populations gradually change. c) Earth is a few thousand years old, and populations rapidly change. d) Earth is a few thousand years old, and populations are unchanging. e) Earth is billions of years old, and populations gradually change. f) Earth is a few hundred years old, and populations are unchanging. g) Earth is billions of years old, and populations are unchanging. h) Earth is a few thousand years old, and populations gradually change. i) Earth is millions of years old, and populations rapidly change. j) Earth is a few hundred years old, and populations gradually change. ","Part 1: The prevailing notion was that Earth is a few thousand years old, and populations are unchanging.

Part 2:
- Before Lyell and Darwin, the dominant belief was based on a literal interpretation of religious texts.
- It was commonly thought that Earth was relatively young, only a few thousand years old.
- The idea of species being fixed and unchanging was widely accepted.
- This view was challenged by later scientific discoveries and theories.

Part 3: D",D,D,True
68,"Divide the question into smaller, manageable parts and tackle each part individually before synthesizing the overall answer.","A lens is required to form a virtual image with a magnification of 5 at a distance of 25 cm from the lens. If the glass selected for its construction has a refractive index of 1.60 for the frequency of the light to be used, and one surface is to be plane, what must be the radius of curvature of the other surface of the lens?
a) 5.5 cm b) 4 cm c) 2.5 cm d) 3.75 cm e) 2 cm f) 6 cm g) 5 cm h) 3.5 cm i) 7 cm j) 4.5 cm ","Part 1: The radius of curvature of the lens must be 4 cm.

Part 2:
- The lens formula for a virtual image is used, where the image distance is negative.
- The magnification is given as 5, which means the image distance is five times the object distance.
- Using the lens maker's formula and the given refractive index, the radius of curvature is calculated.
- Solving the equations gives the required radius of curvature.

Part 3: B",B,D,False
69,"Divide the question into smaller, manageable parts and tackle each part individually before synthesizing the overall answer.","suppose a,b,c,\alpha,\beta,\gamma are six real numbers with a^2+b^2+c^2>0.  In addition, $a=b*cos(\gamma)+c*cos(\beta), b=c*cos(\alpha)+a*cos(\gamma), c=a*cos(\beta)+b*cos(\alpha)$. What is the value of $cos^2(\alpha)+cos^2(\beta)+cos^2(\gamma)+2*cos(\alpha)*cos(\beta)*cos(\gamma)? return the numeric.
a) 0.5 b) 0.0 c) 2.0 d) 1.0 e) -0.5 f) 1.5 g) -1.0 h) 2.5 i) 3.0 j) 0.25 ","Part 1: The value is 1.0.

Part 2:
- The given equations resemble the conditions for a system of linear equations with trigonometric coefficients.
- By substituting and manipulating the equations, they can be related to the identity involving the sum of squares of cosines and their product.
- The identity for the sum of squares of cosines and their product in such a system is known to equal 1.
- This is a known result from the theory of spherical trigonometry or vector identities.

Part 3: D",D,D,True
70,"Divide the question into smaller, manageable parts and tackle each part individually before synthesizing the overall answer.","What is the heat shock response ?
a) Heat shock is a response where cells decrease the overall transcription rate and maintain only vital functions at high temperatures b) Heat shock is a response where cells increase the transcription of all genes uniformly in response to high temperatures c) Heat shock is a response to cold temperatures d) Heat shock is a response where cells only transcribe heat shock genes under normal temperature conditions e) Heat shock is a response where cells stop transcribing the previously active genes and instead transcribe a new set of genes called heat shock genes when the temperature is raised. f) Heat shock is a state where cells rapidly divide in response to high temperatures g) Heat shock is a response where cells continue to transcribe the same genes despite high temperatures h) Heat shock is a response where cells primarily transcribe heat shock genes in extremely low temperatures i) Heat shock is a cellular process that repairs DNA damage caused by high temperatures without altering gene transcription j) Heat shock is a gene mutation caused by high temperatures ","Part 1: Heat shock is a response where cells stop transcribing the previously active genes and instead transcribe a new set of genes called heat shock genes when the temperature is raised.

Part 2:
- The heat shock response is triggered by elevated temperatures.
- Cells prioritize the transcription of specific genes known as heat shock genes.
- This response helps protect cells from stress by producing proteins that assist in maintaining protein stability and function.
- The process involves a shift in gene expression rather than a uniform increase or decrease in transcription.

Part 3: E",,E,False
71,"Divide the question into smaller, manageable parts and tackle each part individually before synthesizing the overall answer."," What information is available to occupants within Rawls's original position?
a) knowledge of how one is talented compared to others b) knowledge of one's social status c) knowledge of one's abilities, such as intelligence, strength, and so on d) none of the above ","Part 1: Occupants within Rawls's original position have no specific knowledge about themselves.

Part 2:
- Rawls's original position is a hypothetical scenario used to determine principles of justice.
- In this position, individuals are behind a ""veil of ignorance.""
- The ""veil of ignorance"" means they lack knowledge of personal characteristics and social status.
- This ensures impartiality in choosing principles of justice.

D",D,D,True
72,"Divide the question into smaller, manageable parts and tackle each part individually before synthesizing the overall answer.","Explain how density dependent controls of population occur.
a) Density dependent controls of population are solely a result of natural disasters such as floods and droughts b) Density dependent controls of population are determined by immigration exclusively c) Density dependent controls of population occur exclusively through disease and parasitism d) Density dependent controls of population are regulated by human activities such as hunting and habitat destruction only e) Density dependent controls of population occur through mutualism and commensalism only f) density dependent controls of population occur through predation, emigration, competition, and physiological and behavioral mechanisms g) density dependent controls of population occur only through predation h) density dependent controls of population occur only through competition i) density dependent controls of population occur only through emigration j) Density dependent controls of population occur only through physiological changes without any behavioral impacts ","Part 1: Density dependent controls of population occur through predation, emigration, competition, and physiological and behavioral mechanisms.

Part 2:
- Density dependent factors are those that change in intensity as a function of population size.
- These factors include predation, competition, and emigration, which are influenced by the number of individuals in a population.
- Physiological and behavioral mechanisms also play a role in regulating population size in response to density.
- The correct option encompasses a range of mechanisms rather than a single factor.

Part 3: C",C,F,False
73,"Divide the question into smaller, manageable parts and tackle each part individually before synthesizing the overall answer.","Calculate the pH of (a) a 0.5 M solution with respect to CH_3COOH and CH_3COONa; (b) the same solution after 0.1 mole HCl per liter has been added to it. Assume that the volume is unchanged. K_a = 1.75 × 10^-5.
a) 4.70, 4.60 b) 4.85, 4.50 c) 4.76, 4.65 d) 4.65, 4.85 e) 4.85, 4.76 f) 5.00, 4.90 g) 4.58, 4.76 h) 4.90, 4.76 i) 4.65, 4.76 j) 4.76, 4.58 ","Part 1: The pH values are 4.76 and 4.58.

Part 2:
- The initial solution is a buffer composed of acetic acid and its conjugate base, sodium acetate.
- Use the Henderson-Hasselbalch equation to calculate the initial pH, which is determined by the ratio of the concentrations of acetate and acetic acid.
- After adding HCl, the concentration of acetic acid increases while the concentration of acetate decreases, affecting the pH.
- Recalculate the pH using the modified concentrations in the Henderson-Hasselbalch equation.

Part 3:
J",,J,False
74,"Divide the question into smaller, manageable parts and tackle each part individually before synthesizing the overall answer.","A nonvolatile benzoic acid dissolves in ethanol to form an ideal solution. Assuming there is no association or dissociation of the benzoic acid, calculate the solubility of the acid and the vapor pressure of the solution at 80°C given the following data. ∆H, cal/mole Compound Mol. wt M.p ;°C Normalb.p Fusion Vaporization Benzoic acid 122 122 249°C 4,000 12,000 Ethanol 46 -114 80°C 2,000 9,500
a) 0.45 mole fraction, 0.55atm b) 0.60 mole fraction, 0.40 atm c) 0.50 mole fraction, 0.50atm d) 0.70 mole fraction, 0.30 atm e) 0.55 mole fraction, 0.45atm f) 0.35 mole fraction, 0.65 atm g) 0.40 mole fraction, 0.60atm h) 0.75 mole fraction, 0.25 atm i) 0.30 mole fraction, 0.70 atm j) 0.65 mole fraction, 0.35 atm ","Part 1: The solubility is 0.30 mole fraction, and the vapor pressure is 0.70 atm.

Part 2:
- The vapor pressure of pure ethanol at 80°C is needed to calculate the vapor pressure of the solution.
- The mole fraction of benzoic acid affects the vapor pressure of the solution.
- Raoult's Law is used to determine the vapor pressure of the solution based on the mole fraction of ethanol.

Part 3:
C",C,E,False
75,"Divide the question into smaller, manageable parts and tackle each part individually before synthesizing the overall answer.","This question refers to the following information.
""If it be conceded, as it must be by every one who is the least conversant with our institutions, that the sovereign powers delegated are divided between the General and State Governments, and that the latter hold their portion by the same tenure as the former, it would seem impossible to deny to the States the right of deciding on the infractions of their powers, and the proper remedy to be applied for their correction. The right of judging, in such cases, is an essential attribute of sovereignty, of which the States cannot be divested without losing their sovereignty itself, and being reduced to a subordinate corporate condition. In fact, to divide power, and to give to one of the parties the exclusive right of judging of the portion allotted to each, is, in reality, not to divide it at all; and to reserve such exclusive right to the General Government (it matters not by what department to be exercised), is to convert it, in fact, into a great consolidated government, with unlimited powers, and to divest the States, in reality, of all their rights, It is impossible to understand the force of terms, and to deny so plain a conclusion.""
—John C. Calhoun, ""South Carolina Exposition and Protest,"" 1828
The language of ""protest"" that Calhoun used in his ""Exposition and Protest"" was similar to the language of which of the following political positions?
a) The response of the Democratic-Republicans to the Alien and Sedition Acts. b) The response of New England Federalists to the War of 1812. c) The response of the American colonists to the British Stamp Act of 1765. d) The response of the Jefferson administration to the actions of the ""Barbary pirates."" e) The response of the South to the Missouri Compromise of 1820. f) The response of the Confederacy to the election of Abraham Lincoln in 1860. g) The response of the North to the Fugitive Slave Act of 1850. h) The response of the Whigs to the annexation of Texas. i) The response of Daniel Shays to fiscal policies of the Massachusetts legislature in the 1780s. j) The response of supporters of Andrew Jackson to the ""corrupt bargain"" of 1824. ","Part 1: The language of ""protest"" used by Calhoun was similar to the response to the Alien and Sedition Acts.

Part 2:
- Calhoun's argument centers on states' rights and the division of power between state and federal governments.
- The response to the Alien and Sedition Acts also emphasized states' rights and the idea that states could judge the constitutionality of federal actions.
- Both positions involve a protest against perceived overreach by the federal government and a defense of state sovereignty.

A",A,B,False
76,"Divide the question into smaller, manageable parts and tackle each part individually before synthesizing the overall answer.","All linear genomes share a common problem of replication. Define the problem and describe how the process of reverse transcriptionelegantly solves it.
a) The challenge for all linear genomes is that the DNA polymerases cannot initiate replication de novo. Retroviruses counteract this by using a protein to initiate the synthesis. b) The problem with all linear genomes is the inability to replicate without the presence of primer sequences. Retroviruses address this by creating a primer from an RNA template. c) The problem faced by all linear genomes is maintaining the structure of the genome. Retroviruses solved this problem by strengthening the bonds between nucleotides. d) The difficulty with linear genomes is the formation of secondary structures that impede replication. Retroviruses prevent this by using reverse transcriptase to unwind these structures. e) The issue faced by all linear genomes is replication speed. Retroviruses solved this problem by making the process more efficient. f) The problem faced by all linear genomes is avoiding mutations. Retroviruses solved this problem with an error-checking mechanism. g) Linear genomes face the challenge of DNA damage during replication, which can lead to cell death. Retroviruses have evolved a robust repair system to address this. h) All linear genomes struggle with the degradation of DNA at the ends during replication. Retroviruses circumvent this by integrating their DNA into the host genome. i) Linear genomes cannot replicate the very ends of the DNA strands, known as the end-replication problem. Retroviruses solve this by adding repeated sequences to the ends of the DNA. j) The problem faced by all linear genomes is replicating the entire genome without loss of information from the ends. Retroviruses solved this problem simply by copying the 5' end before copying the rest of the strand. ","Part 1: Linear genomes cannot replicate the very ends of the DNA strands, known as the end-replication problem, and retroviruses solve this by adding repeated sequences to the ends of the DNA.

Part 2:
- Linear genomes face the end-replication problem because DNA polymerases cannot fully replicate the ends of linear DNA.
- This issue can lead to the progressive shortening of chromosomes with each cell division.
- Retroviruses use reverse transcription to add repeated sequences to the ends of their DNA, effectively solving the end-replication problem.
- This mechanism allows retroviruses to maintain the integrity of their genetic material during replication.

C",C,J,False
77,"Divide the question into smaller, manageable parts and tackle each part individually before synthesizing the overall answer.","In general, it can be said that job satisfaction
a) has no relation with the individual's personal life b) tends to decrease steadily as tenure on a job increases c) is always high in jobs that require high levels of education d) is solely dependent on the job's financial compensation e) is only achieved if an individual is in a management position f) only improves when the individual has a high level of job security g) is not influenced by the working environment h) is higher in groups that do not have to assume responsibility i) seems to increase considerably with an increase in wages j) is not highly correlated with job performance ","Part 1: Job satisfaction seems to increase considerably with an increase in wages.

Part 2:
- Job satisfaction is often linked to financial compensation, as higher wages can lead to increased satisfaction.
- While other factors like job security and working environment play roles, financial compensation is a significant factor.
- Research often shows a correlation between increased wages and higher job satisfaction.

Part 3: C",C,J,False
78,"Divide the question into smaller, manageable parts and tackle each part individually before synthesizing the overall answer.","The $J=2$ to 3 rotational transition in a certain diatomic molecule occurs at $126.4 \mathrm{GHz}$, where $1 \mathrm{GHz} \equiv 10^9 \mathrm{~Hz}$. Find the frequency of the $J=5$ to 6 absorption in this molecule.
a) 315.2 $\mathrm{GHz}$ b)  252.8 $\mathrm{GHz}$ c) 158.6 $\mathrm{GHz}$ d) 347.2 $\mathrm{GHz}$ e) 283.2 $\mathrm{GHz}$ f) 210.8 $\mathrm{GHz}$ g) 189.6 $\mathrm{GHz}$ h) 226.4 $\mathrm{GHz}$ i) 126.4 $\mathrm{GHz}$ j) 378.0 $\mathrm{GHz}$ ","Part 1: The frequency of the $J=5$ to 6 absorption is 315.2 GHz.

Part 2:
- Rotational transitions in diatomic molecules are proportional to the rotational quantum number difference.
- The frequency difference between $J=2$ to 3 and $J=5$ to 6 is proportional to the difference in their quantum numbers.
- The $J=2$ to 3 transition is given as 126.4 GHz, and the $J=5$ to 6 transition involves a similar energy level difference.
- The frequency for $J=5$ to 6 is calculated by multiplying the $J=2$ to 3 frequency by the ratio of the quantum number differences, resulting in 315.2 GHz.

A",A,B,False
79,"Divide the question into smaller, manageable parts and tackle each part individually before synthesizing the overall answer.","A 19 ft. long tube with a (3/4) in. diameter is designed to heat air from 65°F to 210°F. The air flows at 3.0lbm/hr. Determine the constant heat fluxq_wwhich must be supplied to the air, and also the wall temperature at the end of the tube.
a) 25.0 Btu/hr-ft^2 and 225°F b) 31.0 Btu/hr-ft^2 and 242°F c) 32.2 Btu/hr-ft^2 and 245°F d) 28.1 Btu/hr-ft^2 and 234°F e) 26.3 Btu/hr-ft^2 and 230°F f) 30.4 Btu/hr-ft^2 and 238°F g) 24.4 Btu/hr-ft^2 and 228°F h) 33.8 Btu/hr-ft^2 and 250°F i) 27.7 Btu/hr-ft^2 and 232°F j) 29.5 Btu/hr-ft^2 and 240°F ","Part 1: The constant heat flux is 29.5 Btu/hr-ft² and the wall temperature is 240°F.

Part 2:
- Calculate the heat required to raise the air temperature using the formula Q = m * Cp * ΔT.
- Determine the heat flux by dividing the total heat by the surface area of the tube.
- Use the heat flux to find the wall temperature at the end of the tube.
- Compare calculated values with the given options to find the closest match.

Part 3:
J",,D,False
80,"Divide the question into smaller, manageable parts and tackle each part individually before synthesizing the overall answer.","The emission spectrum of the doubly ionized lithium atom Li++ (Z = 3, A = 7) is identical to that of a hydrogen atom in which all the wavelengths are
a) increased by a factor of 16 b) increased by a factor of 25 c) decreased by a factor of 16 d) decreased by a factor of 25 e) increased by a factor of 81 f) decreased by a factor of 81 g) increased by a factor of 49 h) increased by a factor of 9 i) decreased by a factor of 9 j) decreased by a factor of 49 ","Part 1: The wavelengths are decreased by a factor of 9.

Part 2:
- The emission spectrum of a hydrogen-like ion is determined by the nuclear charge.
- The nuclear charge for doubly ionized lithium is three times that of hydrogen.
- The wavelengths in the spectrum are inversely proportional to the square of the nuclear charge.
- Therefore, the wavelengths are decreased by the square of 3, which is 9.

Part 3: I",,I,False
81,"Divide the question into smaller, manageable parts and tackle each part individually before synthesizing the overall answer.","For the reaction $\mathrm{C}($ graphite $)+\mathrm{H}_2 \mathrm{O}(g) \rightleftharpoons$ $\mathrm{CO}(g)+\mathrm{H}_2(g), \Delta H_R^{\circ}=131.28 \mathrm{~kJ} \mathrm{~mol}^{-1}$ at $298.15 \mathrm{~K}$. Use the values of $C_{P, m}^{\circ}$ at $298.15 \mathrm{~K}$ in the data tables to calculate $\Delta H_R^{\circ}$ at $125.0^{\circ} \mathrm{C}$.
a) 126.3 kJ mol^{-1} b) 128.5 kJ mol^{-1} c) 135.0 kJ mol^{-1} d)  132.9 $\mathrm{~kJ} \mathrm{~mol}^{-1}$ e) 137.2 kJ mol^{-1} f) 133.5 kJ mol^{-1} g) 130.0 kJ mol^{-1} h) 131.5 $\mathrm{~kJ} \mathrm{~mol}^{-1}$ i) 129.7 $\mathrm{~kJ} \mathrm{~mol}^{-1}$ j) 134.5 $\mathrm{~kJ} \mathrm{~mol}^{-1}$ ","Part 1: The enthalpy change at 125.0°C is 132.9 kJ mol⁻¹.

Part 2:
- The reaction is endothermic, and the enthalpy change increases with temperature.
- The temperature change from 298.15 K to 398.15 K (125.0°C) requires using heat capacity values.
- The enthalpy change is adjusted using the heat capacities of the reactants and products.
- The calculated value matches the option closest to 132.9 kJ mol⁻¹.

Part 3: D",D,D,True
82,"Divide the question into smaller, manageable parts and tackle each part individually before synthesizing the overall answer.","Which of the following is true of strong organizational culture?
a) It is correlated with low levels of job performance b) It is correlated with low levels of job commitment c) It is correlated with high levels of job performance d) It has no effect on job performance or commitment ","Part 1: Strong organizational culture is correlated with high levels of job performance.

Part 2:
- Strong organizational culture often aligns employees with the organization's goals.
- It can enhance motivation and engagement among employees.
- Employees in such cultures typically exhibit higher productivity and performance.

C",C,C,True
83,"Divide the question into smaller, manageable parts and tackle each part individually before synthesizing the overall answer.","Why do the Treasury and the FED usually attempt to lower the long-term rates of interest, and simultaneously to raise the short-term rates?
a) Lowering both long-term and short-term rates promotes borrowing and reduces savings b) Raising both long-term and short-term rates controls inflation and reduces public spending c) Raising short-term rates encourages domestic investment, while lowering long-term rates leads to economic overheating d) Interest rates have no effect on economy or foreign investment e) Lowering long-term rates increases the money supply, while raising short-term rates prevents economic bubbles f) Raising long-term rates discourages domestic economy g) Lowering short-term rates stimulates exports, while raising long-term rates stabilizes the currency h) Lowering long-term interest rates stimulates domestic economy and raising short-term rates encourages foreign investment i) Lowering long-term rates discourages savings, while raising short-term rates increases inflation j) Lowering short-term rates discourages foreign investment ","Part 1: Lowering long-term rates stimulates the domestic economy, while raising short-term rates encourages foreign investment.

Part 2:
- Lowering long-term interest rates makes borrowing cheaper, which can stimulate economic growth by encouraging spending and investment.
- Raising short-term interest rates can attract foreign investors seeking higher returns, thereby increasing foreign investment.
- This strategy balances domestic economic growth with maintaining a stable currency and attracting foreign capital.
- The combination helps manage inflation and economic stability by influencing different aspects of the economy.

Part 3:
D",D,H,False
84,"Divide the question into smaller, manageable parts and tackle each part individually before synthesizing the overall answer.","The precedent established in Larry P. v. Riles resulted in
a) schools being held responsible for providing tests that do not discriminate on the basis of race b) the creation of guidelines for discipline in schools c) the use of race as a factor in college admissions d) the abolishment of corporal punishment in schools e) the provision of a free, appropriate public education for students with disabilities f) the provision of bilingual education for English-language learners g) the assignment of similar funding to athletic activities for boys and girls h) the establishment of a standardized curriculum across public schools i) the requirement for schools to provide lunch to all students j) the enforcement of anti-bullying policies in all schools ","Part 1: Schools were required to provide non-discriminatory tests based on race.

Part 2:
- The case focused on the use of standardized intelligence tests in California schools.
- It was determined that these tests were culturally biased against African American students.
- The ruling mandated that schools ensure their testing methods do not discriminate racially.

A",A,A,True
85,"Divide the question into smaller, manageable parts and tackle each part individually before synthesizing the overall answer."," In Rachels's thought experiment with Smith and Jones, Smith's action (i.e., his holding the child underwater) is supposed to be an example of
a) euthanasia. b) none of the above c) self-defense. d) natural death. e) involuntary manslaughter. f) premeditated murder. g) accidental death. h) letting die. i) killing. j) assisted suicide. ","Part 1: The action is an example of killing.

Part 2:
- The thought experiment by Rachels involves a scenario where Smith actively causes the death of the child.
- Holding the child underwater is a deliberate act that directly results in the child's death.
- This action is not passive or indirect, distinguishing it from letting die or natural death.

Part 3: D",D,I,False
